Date,Time (GMT),Predicted (m),Preliminary (m),Verified (m),Datum=NAVD88
2019/5/2,0:00,-,-,-0.1,
2019/5/2,1:00,-,-,0.062,
2019/5/2,2:00,-,-,0.258,
2019/5/2,3:00,-,-,0.39,
2019/5/2,4:00,-,-,0.447,
2019/5/2,5:00,-,-,0.426,
2019/5/2,6:00,-,-,0.348,
2019/5/2,7:00,-,-,0.23,
2019/5/2,8:00,-,-,0.103,
2019/5/2,9:00,-,-,-0.015,
2019/5/2,10:00,-,-,-0.1,
2019/5/2,11:00,-,-,-0.147,
2019/5/2,12:00,-,-,-0.129,
2019/5/2,13:00,-,-,-0.053,
2019/5/2,14:00,-,-,0.066,
2019/5/2,15:00,-,-,0.19,
2019/5/2,16:00,-,-,0.276,
2019/5/2,17:00,-,-,0.283,
2019/5/2,18:00,-,-,0.217,
2019/5/2,19:00,-,-,0.104,
2019/5/2,20:00,-,-,-0.023,
2019/5/2,21:00,-,-,-0.136,
2019/5/2,22:00,-,-,-0.224,
2019/5/2,23:00,-,-,-0.254,
2019/5/3,0:00,-,-,-0.236,
2019/5/3,1:00,-,-,-0.166,
2019/5/3,2:00,-,-,-0.027,
2019/5/3,3:00,-,-,0.157,
2019/5/3,4:00,-,-,0.285,
2019/5/3,5:00,-,-,0.315,
2019/5/3,6:00,-,-,0.295,
2019/5/3,7:00,-,-,0.219,
2019/5/3,8:00,-,-,0.1,
2019/5/3,9:00,-,-,-0.028,
2019/5/3,10:00,-,-,-0.139,
2019/5/3,11:00,-,-,-0.209,
2019/5/3,12:00,-,-,-0.228,
2019/5/3,13:00,-,-,-0.176,
2019/5/3,14:00,-,-,-0.048,
2019/5/3,15:00,-,-,0.119,
2019/5/3,16:00,-,-,0.269,
2019/5/3,17:00,-,-,0.355,
2019/5/3,18:00,-,-,0.345,
2019/5/3,19:00,-,-,0.291,
2019/5/3,20:00,-,-,0.193,
2019/5/3,21:00,-,-,0.067,
2019/5/3,22:00,-,-,-0.051,
2019/5/3,23:00,-,-,-0.123,
2019/5/4,0:00,-,-,-0.124,
2019/5/4,1:00,-,-,-0.05,
2019/5/4,2:00,-,-,0.109,
2019/5/4,3:00,-,-,0.314,
2019/5/4,4:00,-,-,0.481,
2019/5/4,5:00,-,-,0.547,
2019/5/4,6:00,-,-,0.561,
2019/5/4,7:00,-,-,0.516,
2019/5/4,8:00,-,-,0.397,
2019/5/4,9:00,-,-,0.269,
2019/5/4,10:00,-,-,0.134,
2019/5/4,11:00,-,-,0.03,
2019/5/4,12:00,-,-,-0.035,
2019/5/4,13:00,-,-,-0.038,
2019/5/4,14:00,-,-,0.028,
2019/5/4,15:00,-,-,0.173,
2019/5/4,16:00,-,-,0.334,
2019/5/4,17:00,-,-,0.451,
2019/5/4,18:00,-,-,0.482,
2019/5/4,19:00,-,-,0.431,
2019/5/4,20:00,-,-,0.306,
2019/5/4,21:00,-,-,0.169,
2019/5/4,22:00,-,-,0.027,
2019/5/4,23:00,-,-,-0.089,
2019/5/5,0:00,-,-,-0.139,
2019/5/5,1:00,-,-,-0.143,
2019/5/5,2:00,-,-,-0.034,
2019/5/5,3:00,-,-,0.142,
2019/5/5,4:00,-,-,0.334,
2019/5/5,5:00,-,-,0.47,
2019/5/5,6:00,-,-,0.521,
2019/5/5,7:00,-,-,0.495,
2019/5/5,8:00,-,-,0.429,
2019/5/5,9:00,-,-,0.293,
2019/5/5,10:00,-,-,0.145,
2019/5/5,11:00,-,-,0.021,
2019/5/5,12:00,-,-,-0.079,
2019/5/5,13:00,-,-,-0.129,
2019/5/5,14:00,-,-,-0.093,
2019/5/5,15:00,-,-,0.032,
2019/5/5,16:00,-,-,0.207,
2019/5/5,17:00,-,-,0.383,
2019/5/5,18:00,-,-,0.477,
2019/5/5,19:00,-,-,0.477,
2019/5/5,20:00,-,-,0.411,
2019/5/5,21:00,-,-,0.294,
2019/5/5,22:00,-,-,0.162,
2019/5/5,23:00,-,-,0.073,
2019/5/6,0:00,-,-,-0.034,
2019/5/6,1:00,-,-,-0.082,
2019/5/6,2:00,-,-,-0.039,
2019/5/6,3:00,-,-,0.084,
2019/5/6,4:00,-,-,0.263,
2019/5/6,5:00,-,-,0.421,
2019/5/6,6:00,-,-,0.482,
2019/5/6,7:00,-,-,0.47,
2019/5/6,8:00,-,-,0.429,
2019/5/6,9:00,-,-,0.34,
2019/5/6,10:00,-,-,0.211,
2019/5/6,11:00,-,-,0.067,
2019/5/6,12:00,-,-,-0.051,
2019/5/6,13:00,-,-,-0.138,
2019/5/6,14:00,-,-,-0.15,
2019/5/6,15:00,-,-,-0.082,
2019/5/6,16:00,-,-,0.089,
2019/5/6,17:00,-,-,0.296,
2019/5/6,18:00,-,-,0.455,
2019/5/6,19:00,-,-,0.526,
2019/5/6,20:00,-,-,0.519,
2019/5/6,21:00,-,-,0.45,
2019/5/6,22:00,-,-,0.336,
2019/5/6,23:00,-,-,0.209,
2019/5/7,0:00,-,-,0.09,
2019/5/7,1:00,-,-,0.009,
2019/5/7,2:00,-,-,0.012,
2019/5/7,3:00,-,-,0.086,
2019/5/7,4:00,-,-,0.263,
2019/5/7,5:00,-,-,0.457,
2019/5/7,6:00,-,-,0.616,
2019/5/7,7:00,-,-,0.695,
2019/5/7,8:00,-,-,0.681,
2019/5/7,9:00,-,-,0.618,
2019/5/7,10:00,-,-,0.502,
2019/5/7,11:00,-,-,0.362,
2019/5/7,12:00,-,-,0.229,
2019/5/7,13:00,-,-,0.112,
2019/5/7,14:00,-,-,0.035,
2019/5/7,15:00,-,-,0.008,
2019/5/7,16:00,-,-,0.049,
2019/5/7,17:00,-,-,0.18,
2019/5/7,18:00,-,-,0.347,
2019/5/7,19:00,-,-,0.475,
2019/5/7,20:00,-,-,0.513,
2019/5/7,21:00,-,-,0.457,
2019/5/7,22:00,-,-,0.347,
2019/5/7,23:00,-,-,0.217,
2019/5/8,0:00,-,-,0.107,
2019/5/8,1:00,-,-,0.017,
2019/5/8,2:00,-,-,-0.028,
2019/5/8,3:00,-,-,-0.003,
2019/5/8,4:00,-,-,0.114,
2019/5/8,5:00,-,-,0.29,
2019/5/8,6:00,-,-,0.47,
2019/5/8,7:00,-,-,0.589,
2019/5/8,8:00,-,-,0.634,
2019/5/8,9:00,-,-,0.622,
2019/5/8,10:00,-,-,0.553,
2019/5/8,11:00,-,-,0.432,
2019/5/8,12:00,-,-,0.294,
2019/5/8,13:00,-,-,0.152,
2019/5/8,14:00,-,-,0.045,
2019/5/8,15:00,-,-,-0.021,
2019/5/8,16:00,-,-,-0.041,
2019/5/8,17:00,-,-,0.017,
2019/5/8,18:00,-,-,0.151,
2019/5/8,19:00,-,-,0.309,
2019/5/8,20:00,-,-,0.429,
2019/5/8,21:00,-,-,0.454,
2019/5/8,22:00,-,-,0.382,
2019/5/8,23:00,-,-,0.264,
2019/5/9,0:00,-,-,0.105,
2019/5/9,1:00,-,-,-0.015,
2019/5/9,2:00,-,-,-0.109,
2019/5/9,3:00,-,-,-0.155,
2019/5/9,4:00,-,-,-0.126,
2019/5/9,5:00,-,-,-0.015,
2019/5/9,6:00,-,-,0.139,
2019/5/9,7:00,-,-,0.317,
2019/5/9,8:00,-,-,0.437,
2019/5/9,9:00,-,-,0.479,
2019/5/9,10:00,-,-,0.462,
2019/5/9,11:00,-,-,0.388,
2019/5/9,12:00,-,-,0.269,
2019/5/9,13:00,-,-,0.136,
2019/5/9,14:00,-,-,0.022,
2019/5/9,15:00,-,-,-0.068,
2019/5/9,16:00,-,-,-0.118,
2019/5/9,17:00,-,-,-0.112,
2019/5/9,18:00,-,-,-0.006,
2019/5/9,19:00,-,-,0.154,
2019/5/9,20:00,-,-,0.314,
2019/5/9,21:00,-,-,0.419,
2019/5/9,22:00,-,-,0.435,
2019/5/9,23:00,-,-,0.392,
2019/5/10,0:00,-,-,0.293,
2019/5/10,1:00,-,-,0.18,
2019/5/10,2:00,-,-,0.06,
2019/5/10,3:00,-,-,-0.034,
2019/5/10,4:00,-,-,-0.066,
2019/5/10,5:00,-,-,-0.02,
2019/5/10,6:00,-,-,0.123,
2019/5/10,7:00,-,-,0.295,
2019/5/10,8:00,-,-,0.463,
2019/5/10,9:00,-,-,0.556,
2019/5/10,10:00,-,-,0.588,
2019/5/10,11:00,-,-,0.559,
2019/5/10,12:00,-,-,0.478,
2019/5/10,13:00,-,-,0.381,
2019/5/10,14:00,-,-,0.268,
2019/5/10,15:00,-,-,0.152,
2019/5/10,16:00,-,-,0.068,
2019/5/10,17:00,-,-,0.015,
2019/5/10,18:00,-,-,0.016,
2019/5/10,19:00,-,-,0.112,
2019/5/10,20:00,-,-,0.243,
2019/5/10,21:00,-,-,0.372,
2019/5/10,22:00,-,-,0.454,
2019/5/10,23:00,-,-,0.472,
2019/5/11,0:00,-,-,0.406,
2019/5/11,1:00,-,-,0.299,
2019/5/11,2:00,-,-,0.175,
2019/5/11,3:00,-,-,0.067,
2019/5/11,4:00,-,-,-0.038,
2019/5/11,5:00,-,-,-0.08,
2019/5/11,6:00,-,-,-0.108,
2019/5/11,7:00,-,-,-0.03,
2019/5/11,8:00,-,-,0.121,
2019/5/11,9:00,-,-,0.281,
2019/5/11,10:00,-,-,0.399,
2019/5/11,11:00,-,-,0.429,
2019/5/11,12:00,-,-,0.384,
2019/5/11,13:00,-,-,0.278,
2019/5/11,14:00,-,-,0.14,
2019/5/11,15:00,-,-,0.02,
2019/5/11,16:00,-,-,-0.11,
2019/5/11,17:00,-,-,-0.213,
2019/5/11,18:00,-,-,-0.264,
2019/5/11,19:00,-,-,-0.254,
2019/5/11,20:00,-,-,-0.167,
2019/5/11,21:00,-,-,-0.001,
2019/5/11,22:00,-,-,0.172,
2019/5/11,23:00,-,-,0.272,
2019/5/12,0:00,-,-,0.266,
2019/5/12,1:00,-,-,0.221,
2019/5/12,2:00,-,-,0.13,
2019/5/12,3:00,-,-,0.016,
2019/5/12,4:00,-,-,-0.065,
2019/5/12,5:00,-,-,-0.121,
2019/5/12,6:00,-,-,-0.142,
2019/5/12,7:00,-,-,-0.102,
2019/5/12,8:00,-,-,0.019,
2019/5/12,9:00,-,-,0.178,
2019/5/12,10:00,-,-,0.333,
2019/5/12,11:00,-,-,0.431,
2019/5/12,12:00,-,-,0.445,
2019/5/12,13:00,-,-,0.428,
2019/5/12,14:00,-,-,0.373,
2019/5/12,15:00,-,-,0.279,
2019/5/12,16:00,-,-,0.17,
2019/5/12,17:00,-,-,0.07,
2019/5/12,18:00,-,-,-0.003,
2019/5/12,19:00,-,-,-0.044,
2019/5/12,20:00,-,-,-0.027,
2019/5/12,21:00,-,-,0.066,
2019/5/12,22:00,-,-,0.211,
2019/5/12,23:00,-,-,0.366,
2019/5/13,0:00,-,-,0.437,
2019/5/13,1:00,-,-,0.411,
2019/5/13,2:00,-,-,0.356,
2019/5/13,3:00,-,-,0.281,
2019/5/13,4:00,-,-,0.176,
2019/5/13,5:00,-,-,0.076,
2019/5/13,6:00,-,-,-0.003,
2019/5/13,7:00,-,-,-0.03,
2019/5/13,8:00,-,-,0.022,
2019/5/13,9:00,-,-,0.175,
2019/5/13,10:00,-,-,0.371,
2019/5/13,11:00,-,-,0.552,
2019/5/13,12:00,-,-,0.65,
2019/5/13,13:00,-,-,0.679,
2019/5/13,14:00,-,-,0.68,
2019/5/13,15:00,-,-,0.632,
2019/5/13,16:00,-,-,0.551,
2019/5/13,17:00,-,-,0.455,
2019/5/13,18:00,-,-,0.372,
2019/5/13,19:00,-,-,0.287,
2019/5/13,20:00,-,-,0.225,
2019/5/13,21:00,-,-,0.23,
2019/5/13,22:00,-,-,0.303,
2019/5/13,23:00,-,-,0.443,
2019/5/14,0:00,-,-,0.584,
2019/5/14,1:00,-,-,0.675,
2019/5/14,2:00,-,-,0.708,
2019/5/14,3:00,-,-,0.654,
2019/5/14,4:00,-,-,0.551,
2019/5/14,5:00,-,-,0.429,
2019/5/14,6:00,-,-,0.308,
2019/5/14,7:00,-,-,0.218,
2019/5/14,8:00,-,-,0.16,
2019/5/14,9:00,-,-,0.174,
2019/5/14,10:00,-,-,0.266,
2019/5/14,11:00,-,-,0.423,
2019/5/14,12:00,-,-,0.572,
2019/5/14,13:00,-,-,0.676,
2019/5/14,14:00,-,-,0.712,
2019/5/14,15:00,-,-,0.694,
2019/5/14,16:00,-,-,0.624,
2019/5/14,17:00,-,-,0.501,
2019/5/14,18:00,-,-,0.386,
2019/5/14,19:00,-,-,0.26,
2019/5/14,20:00,-,-,0.147,
2019/5/14,21:00,-,-,0.108,
2019/5/14,22:00,-,-,0.111,
2019/5/14,23:00,-,-,0.177,
2019/5/15,0:00,-,-,0.314,
2019/5/15,1:00,-,-,0.46,
2019/5/15,2:00,-,-,0.547,
2019/5/15,3:00,-,-,0.578,
2019/5/15,4:00,-,-,0.535,
2019/5/15,5:00,-,-,0.43,
2019/5/15,6:00,-,-,0.292,
2019/5/15,7:00,-,-,0.144,
2019/5/15,8:00,-,-,0.007,
2019/5/15,9:00,-,-,-0.09,
2019/5/15,10:00,-,-,-0.13,
2019/5/15,11:00,-,-,-0.113,
2019/5/15,12:00,-,-,-0.002,
2019/5/15,13:00,-,-,0.171,
2019/5/15,14:00,-,-,0.344,
2019/5/15,15:00,-,-,0.434,
2019/5/15,16:00,-,-,0.421,
2019/5/15,17:00,-,-,0.338,
2019/5/15,18:00,-,-,0.218,
2019/5/15,19:00,-,-,0.097,
2019/5/15,20:00,-,-,-0.016,
2019/5/15,21:00,-,-,-0.099,
2019/5/15,22:00,-,-,-0.114,
2019/5/15,23:00,-,-,-0.044,
2019/5/16,0:00,-,-,0.12,
2019/5/16,1:00,-,-,0.325,
2019/5/16,2:00,-,-,0.507,
2019/5/16,3:00,-,-,0.609,
2019/5/16,4:00,-,-,0.631,
2019/5/16,5:00,-,-,0.594,
